smooth_mode,aug_mode,seed,fold_idx,n_train,n_train_aug,n_test,epochs_run,fold_time_s,z_scale,macro_f1,weighted_f1,accuracy,f1_anger,f1_disgust,f1_fear,f1_happiness,f1_sadness,f1_surprise
F2,G2,0,2,278,648,31,41,115.52,0.266618,0.8471380471380471,0.9036819811013359,0.9032258064516129,0.6666666666666666,0.8888888888888888,0.8,1.0,0.7272727272727273,1.0
F2,G2,0,3,278,652,31,22,67.66,0.267193,0.7857142857142857,0.792626728110599,0.8064516129032258,0.5,0.7142857142857143,1.0,1.0,0.5,1.0
F2,G2,0,4,278,648,31,50,139.11,0.266906,0.9096866096866097,0.9012958367797077,0.9032258064516129,0.7692307692307693,0.8888888888888888,1.0,1.0,0.8,1.0
F2,G2,0,5,278,648,31,43,120.58,0.266237,0.6964590964590965,0.7682382133995037,0.7741935483870968,0.5714285714285714,0.7692307692307693,0.5714285714285714,0.9333333333333333,0.4,0.9333333333333333
F2,G2,0,6,278,654,31,26,78.37,0.267193,0.592436974789916,0.7104906478720521,0.7419354838709677,0.2857142857142857,0.5882352941176471,0.8571428571428571,0.8235294117647058,0.0,1.0
F2,G2,0,7,278,652,31,32,93.26,0.267524,0.8115842490842491,0.8322846508330379,0.8387096774193549,0.5,0.875,1.0,0.9230769230769231,0.5714285714285714,1.0
F2,G2,0,8,278,658,31,47,136.96,0.266616,0.8727095516569201,0.8962837200528202,0.9032258064516129,0.4,0.8888888888888888,1.0,1.0,1.0,0.9473684210526315
F2,G2,0,9,279,654,30,47,134.81,0.267994,0.895959595959596,0.927070707070707,0.9333333333333333,0.6666666666666666,0.9090909090909091,1.0,1.0,0.8,1.0
F2,G2,1,0,278,654,31,50,139.92,0.266616,0.8591871091871092,0.9030396127170319,0.9032258064516129,0.8571428571428571,0.9090909090909091,0.5,0.8888888888888888,1.0,1.0
F2,G2,1,1,278,648,31,30,90.96,0.267395,0.6687830687830688,0.7187916026625705,0.7096774193548387,0.3333333333333333,0.6,0.8571428571428571,0.8888888888888888,0.3333333333333333,1.0
