variant_key,coord_v,extractor_v,temporal_v,loss_v,norm_v,seed,fold_idx,n_train,n_train_aug,n_test,epochs_run,fold_time_s,z_scale,macro_f1,weighted_f1,accuracy,f1_anger,f1_disgust,f1_fear,f1_happiness,f1_sadness,f1_surprise
A2_B3_C2_D2_E2,A2,B3,C2,D2,E2,0,3,278,652,31,32,98.15,0.267232,0.7997835497835498,0.8016338500209469,0.8064516129032258,0.5,0.7272727272727273,1.0,1.0,0.5714285714285714,1.0
A2_B3_C2_D2_E2,A2,B3,C2,D2,E2,0,4,278,648,31,49,138.31,0.266989,0.9375,0.9314516129032258,0.9354838709677419,0.875,1.0,1.0,1.0,0.75,1.0
A2_B3_C2_D2_E2,A2,B3,C2,D2,E2,0,5,278,648,31,26,79.82,0.266073,0.7210763093116034,0.7918019993921322,0.8064516129032258,0.5714285714285714,0.9090909090909091,0.4,0.9333333333333333,0.5714285714285714,0.9411764705882353
A2_B3_C2_D2_E2,A2,B3,C2,D2,E2,0,6,278,654,31,43,126.33,0.267232,0.8076923076923078,0.967741935483871,0.967741935483871,0.9230769230769231,0.9230769230769231,1.0,1.0,0.0,1.0
A2_B3_C2_D2_E2,A2,B3,C2,D2,E2,0,7,278,652,31,23,74.73,0.267427,0.6527639027639027,0.6908414166478682,0.7096774193548387,0.3333333333333333,0.6363636363636364,0.6666666666666666,0.9230769230769231,0.5,0.8571428571428571
A2_B3_C2_D2_E2,A2,B3,C2,D2,E2,0,8,278,658,31,40,121.87,0.266352,0.8815789473684211,0.8938879456706281,0.9032258064516129,0.5,0.8421052631578947,1.0,1.0,1.0,0.9473684210526315
A2_B3_C2_D2_E2,A2,B3,C2,D2,E2,0,9,279,654,30,50,148.02,0.267656,0.8388888888888889,0.8788888888888889,0.9,0.4,0.8333333333333334,1.0,1.0,0.8,1.0
A2_B3_C2_D2_E2,A2,B3,C2,D2,E2,1,0,278,654,31,40,122.35,0.266352,0.8124183006535947,0.8686907020872865,0.8709677419354839,0.6666666666666666,0.8,0.6666666666666666,0.9411764705882353,0.8,1.0
A2_B3_C2_D2_E2,A2,B3,C2,D2,E2,1,1,278,648,31,23,75.8,0.267348,0.6161616161616161,0.6813294232649072,0.6774193548387096,0.36363636363636365,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0
A2_B3_C2_D2_E2,A2,B3,C2,D2,E2,1,2,278,648,31,18,61.28,0.266545,0.6568627450980392,0.7590132827324478,0.7741935483870968,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.9411764705882353,0.3333333333333333,1.0
A2_B3_C2_D2_E2,A2,B3,C2,D2,E2,1,3,278,652,31,46,134.23,0.267232,0.8311355311355312,0.8394186458702587,0.8387096774193549,0.6153846153846154,0.8,1.0,1.0,0.5714285714285714,1.0
A2_B3_C2_D2_E2,A2,B3,C2,D2,E2,1,4,278,648,31,50,143.38,0.266989,0.8572390572390572,0.867188009123493,0.8709677419354839,0.7272727272727273,0.8888888888888888,0.8,1.0,0.7272727272727273,1.0
A2_B3_C2_D2_E2,A2,B3,C2,D2,E2,1,5,278,648,31,46,134.52,0.266073,0.7606421356421356,0.8355536936182097,0.8387096774193549,0.4,0.9090909090909091,0.75,0.9333333333333333,0.5714285714285714,1.0
A2_B3_C2_D2_E2,A2,B3,C2,D2,E2,1,6,278,654,31,50,141.59,0.267232,0.8205128205128206,0.9826302729528535,0.967741935483871,1.0,0.9230769230769231,1.0,1.0,0.0,1.0
A2_B3_C2_D2_E2,A2,B3,C2,D2,E2,1,7,278,652,31,35,103.3,0.267427,0.7291666666666666,0.7620967741935484,0.8064516129032258,0.0,0.875,1.0,1.0,0.5,1.0
A2_B3_C2_D2_E2,A2,B3,C2,D2,E2,1,8,278,658,31,18,61.05,0.266352,0.4761002282741413,0.6435923123160151,0.6451612903225806,0.3333333333333333,0.5714285714285714,0.0,0.7692307692307693,0.4,0.782608695652174
A2_B3_C2_D2_E2,A2,B3,C2,D2,E2,1,9,279,654,30,42,121.73,0.267656,0.7615384615384615,0.814871794871795,0.8666666666666667,0.0,0.7692307692307693,1.0,1.0,0.8,1.0
A2_B3_C2_D2_E2,A2,B3,C2,D2,E2,2,0,278,654,31,50,142.62,0.266352,0.9383442265795208,0.9317731393632722,0.9354838709677419,0.8888888888888888,0.8,1.0,0.9411764705882353,1.0,1.0
A2_B3_C2_D2_E2,A2,B3,C2,D2,E2,2,1,278,648,31,29,87.94,0.267348,0.743609022556391,0.790249818093621,0.8064516129032258,0.2857142857142857,0.8571428571428571,0.8,1.0,0.5714285714285714,0.9473684210526315
A2_B3_C2_D2_E2,A2,B3,C2,D2,E2,2,2,278,648,31,44,127.16,0.266545,0.7722222222222221,0.8763440860215054,0.9032258064516129,0.0,0.8,1.0,1.0,0.8333333333333334,1.0
A2_B3_C2_D2_E2,A2,B3,C2,D2,E2,2,3,278,652,31,44,126.87,0.267232,0.7901098901098901,0.7858206309819213,0.8064516129032258,0.4,0.7692307692307693,1.0,1.0,0.5714285714285714,1.0
A2_B3_C2_D2_E2,A2,B3,C2,D2,E2,2,4,278,648,31,50,141.82,0.266989,0.9385521885521886,0.9333659172368849,0.9354838709677419,0.8333333333333334,0.8888888888888888,1.0,1.0,0.9090909090909091,1.0
A2_B3_C2_D2_E2,A2,B3,C2,D2,E2,2,5,278,648,31,27,83.38,0.266073,0.6329311211664153,0.7452002140806695,0.7741935483870968,0.5,0.9230769230769231,0.5,0.9333333333333333,0.0,0.9411764705882353
A2_B3_C2_D2_E2,A2,B3,C2,D2,E2,2,6,278,654,31,31,97.11,0.267232,0.6946733821733821,0.8367157036511875,0.8064516129032258,0.6666666666666666,0.7692307692307693,0.8571428571428571,1.0,0.0,0.875
A2_B3_C2_D2_E2,A2,B3,C2,D2,E2,2,7,278,652,31,31,95.33,0.267427,0.7333333333333333,0.7462365591397849,0.8064516129032258,0.0,0.8,1.0,1.0,0.6666666666666666,0.9333333333333333
A2_B3_C2_D2_E2,A2,B3,C2,D2,E2,2,8,278,658,31,46,136.08,0.266352,0.8716202270381838,0.8945970238689703,0.9032258064516129,0.4,0.9411764705882353,1.0,0.9411764705882353,1.0,0.9473684210526315
A2_B3_C2_D2_E2,A2,B3,C2,D2,E2,2,9,279,654,30,50,142.9,0.267656,0.8831168831168831,0.8974025974025974,0.9,0.5714285714285714,0.7272727272727273,1.0,1.0,1.0,1.0
A2_B3_C3_D2_E2,A2,B3,C3,D2,E2,0,0,278,654,31,33,121.67,0.266352,0.8743386243386243,0.8991295442908346,0.9032258064516129,0.8571428571428571,0.8333333333333334,0.6666666666666666,0.8888888888888888,1.0,1.0
A2_B3_C3_D2_E2,A2,B3,C3,D2,E2,0,1,278,648,31,31,115.37,0.267348,0.7416666666666666,0.7870967741935483,0.8064516129032258,0.25,0.8,1.0,1.0,0.4,1.0
A2_B3_C3_D2_E2,A2,B3,C3,D2,E2,0,2,278,648,31,38,139.48,0.266545,0.6891859774212716,0.8225518946581566,0.8387096774193549,0.0,0.8,0.6666666666666666,0.9411764705882353,0.7272727272727273,1.0
A2_B3_C3_D2_E2,A2,B3,C3,D2,E2,0,3,278,652,31,24,94.48,0.267232,0.748015873015873,0.7354070660522273,0.7741935483870968,0.25,0.6666666666666666,1.0,1.0,0.5714285714285714,1.0
